State,Location,Latitude,Longitude
Gujarat,Jafrabad,20.8672,71.3658
Gujarat,Veraval,20.9018,70.3630
Gujarat,Mangrol,21.1215,70.1130
Gujarat,Vanakbara,20.7011,70.9022
Gujarat,Kotada,20.7588,70.9575
Gujarat,Okha,22.4636,69.0691
Gujarat,Porbandar,21.6422,69.6093
Gujarat,Chorwad,21.0022,70.2158
Maharashtra,Dahanu,19.9926,72.7303
Maharashtra,Alibag,18.6417,72.8722
Maharashtra,Versova,19.1351,72.8118
Maharashtra,New Ferry Wharf,18.9555,72.8505
Maharashtra,Dabhol,17.5855,73.1755
Maharashtra,Sakharinate,16.5925,73.3444
Maharashtra,Ratnagiri (Mirkarwada),16.9944,73.2844
Maharashtra,Malvan,16.0600,73.4600
Maharashtra,Arnala,19.4580,72.7483
Maharashtra,Vasai,19.3300,72.8100
Maharashtra,Uttan,19.2800,72.7800
Maharashtra,Devgad,16.3750,73.3750
Maharashtra,Harne,17.8130,73.0910
Maharashtra,Sassoon dock,18.9145,72.8255
Maharashtra,Satpati,19.7215,72.7032
Goa,Vasco,15.3959,73.8112
Goa,Chapora,15.6053,73.7408
Goa,Malim,15.5034,73.8277
Goa,Cutbona,15.1583,73.9531
Karnataka,Bhatkal,13.9700,74.5400
Karnataka,Belekeri,14.7100,74.2600
Karnataka,Amdalli,14.7500,74.1900
Karnataka,Karwar,14.8200,74.1300
Karnataka,Malpe,13.3500,74.7000
Karnataka,Mangalore,12.8700,74.8300
Karnataka,Gangolli,13.6450,74.6700
Karnataka,Honnavar,14.2800,74.4400
Karnataka,Tadri,14.5300,74.3600
Kerala,Koyilandi,11.4400,75.6900
Kerala,Cheruvathur,12.2100,75.1500
Kerala,Mopla Bay,11.8600,75.3800
Kerala,Azheekkal,11.9400,75.3000
Kerala,Neendakara,8.9380,76.5400
Kerala,Vaadi,8.8800,76.5700
Kerala,Port Kollam,8.8800,76.5800
Kerala,Chellanam,9.8300,76.2800
Kerala,Ponnani,10.7700,75.9200
Kerala,Munakkakadavu,10.5800,76.0200
Kerala,Chettuva,10.5200,76.0400
Kerala,Vypin,9.9800,76.2400
Kerala,Munambam,10.1800,76.1700
Kerala,Thoppumpady,9.9300,76.2600
Kerala,Puthiyappa,11.3000,75.7600
Kerala,Beypore,11.1600,75.8000
Kerala,Kayamkulam,9.1500,76.4600
Kerala,Thottappally,9.3100,76.3800
Kerala,Vizhinjam,8.3700,76.9900
Kerala,Sakthikulangara,8.9300,76.5500
Tamil Nadu,Karaikal,10.9200,79.8400
Tamil Nadu,Pondicherry,11.9400,79.8000
Tamil Nadu,Pulicat,13.4100,80.3200
Tamil Nadu,Mudasaloodai,11.5100,79.7600
Tamil Nadu,Poombuhar,11.1400,79.8500
Tamil Nadu,Kodiyakarai,10.2700,79.8500
Tamil Nadu,Mallipattinam,10.2800,79.3100
Tamil Nadu,Thengaipattinam,8.2300,77.1600
Tamil Nadu,Rameshvaram,9.2800,79.3100
Tamil Nadu,Jagathapattinam,9.9300,79.1900
Tamil Nadu,Kottaipattinam,9.9800,79.1900
Tamil Nadu,Chinnamuttom,8.0900,77.5600
Tamil Nadu,Tharuvaikulam,8.8900,78.1600
Tamil Nadu,Tuticorin,8.7900,78.1300
Tamil Nadu,Colachel,8.1700,77.2500
Tamil Nadu,Chennai,13.0800,80.2700
Tamil Nadu,Cuddalore,11.7500,79.7600
Tamil Nadu,Mandapam,9.2800,79.1200
Tamil Nadu,Nagapattinam,10.7600,79.8400
Tamil Nadu,Pazhayar,11.3500,79.8300
Andhra Pradesh,Pudimadaka,17.4900,83.0000
Andhra Pradesh,Vodarevu,15.7900,80.4800
Andhra Pradesh,Viskhapatnam,17.6800,83.2100
Andhra Pradesh,Kakinada,16.9800,82.2400
Andhra Pradesh,Nizampatnam,15.9000,80.6700
Andhra Pradesh,Machilipatnam,16.1800,81.1300
Andhra Pradesh,Yanam,16.7300,82.2100
Odisha,Balugaon,19.7400,85.2000
Odisha,Paradeep,20.2700,86.6600
Odisha,Bahabalpur,21.5600,87.0600
Odisha,Balramgadi,21.4600,87.0400
Odisha,Dhamara,21.0100,86.9600
West Bengal,Digha Sankarpur,21.6200,87.5000
West Bengal,Freserganj,21.5800,88.2400
West Bengal,Kakdwip,21.8700,88.1800
West Bengal,Soula,21.6500,87.6500
West Bengal,Namkhana,21.7600,88.2300
West Bengal,Raidighi,22.0000,88.4300
West Bengal,Deshpran (Petua Ghat),21.7800,87.8200
